feature,Promising,Weak,difference
mean_energy,0.2114030382744921,0.0807247004635567,0.1306783378109354
min,0.21125009221642133,0.06723827070045481,0.14401182151596653
range,0.20963703816660617,0.08362464494466723,0.12601239322193894
channel_variance,0.20505963130442753,0.0789632734560329,0.12609635784839462
std,0.20313788939080848,0.07040388523505248,0.132734004155756
max,0.19875184363286583,0.08527314086473717,0.11347870276812866
crest_factor,0.19645120167591212,0.1120423248446705,0.08440887683124162
peak_to_rms,0.19318096276731067,0.11133801162834536,0.08184295113896531
kurtosis,0.17260640514385428,0.1018628761775843,0.07074352896626998
total_energy,0.16556809791059104,0.06193014947005302,0.10363794844053803
line_length,0.14518675392425964,0.08465405471357129,0.06053269921068835
zero_crossing,0.14125845612777246,0.07929990321144545,0.061958552916327014
mean,0.13456414631653138,0.0730674450131745,0.06149670130335688
skewness,0.1274234237592274,0.08744357889924495,0.03997984485998246
